ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-05-25,7371.925108637772,7475.086115178952,7475.930664684768,7371.925108637772,7371.925108637772,103.57806290609186,103.57806290609186,103.57806290609186,103.57806290609186,103.57806290609186,103.57806290609186,0.0,0.0,0.0,7475.503171543864
2020-05-26,7406.3043963886485,7546.402523921732,7547.220863419458,7406.3043963886485,7406.3043963886485,140.5033622650463,140.5033622650463,140.5033622650463,140.5033622650463,140.5033622650463,140.5033622650463,0.0,0.0,0.0,7546.807758653695
2020-05-27,7403.883808519561,7410.183558431372,7411.028701509355,7403.883808519561,7403.883808519561,6.704144509802761,6.704144509802761,6.704144509802761,6.704144509802761,6.704144509802761,6.704144509802761,0.0,0.0,0.0,7410.587953029364
2020-05-28,7161.63670514411,7082.367999336489,7083.220731165693,7161.63670514411,7161.63670514411,-78.8291590684893,-78.8291590684893,-78.8291590684893,-78.8291590684893,-78.8291590684893,-78.8291590684893,0.0,0.0,0.0,7082.807546075621
2020-05-29,7116.7364458792035,6969.888586491977,6970.730744755009,7116.7364458792035,7116.7364458792035,-146.43602371875463,-146.43602371875463,-146.43602371875463,-146.43602371875463,-146.43602371875463,-146.43602371875463,0.0,0.0,0.0,6970.300422160449
2020-05-30,6625.561588588844,6611.580277981935,6612.425950844417,6625.561588588844,6625.561588588844,-13.563047526295485,-13.563047526295485,-13.563047526295485,-13.563047526295485,-13.563047526295485,-13.563047526295485,0.0,0.0,0.0,6611.998541062549
2020-05-31,6398.157291327938,6385.8046629328155,6386.616592916006,6398.157291327938,6398.157291327938,-11.957339367594596,-11.957339367594596,-11.957339367594596,-11.957339367594596,-11.957339367594596,-11.957339367594596,0.0,0.0,0.0,6386.199951960343
2020-06-01,6389.2231873023065,6492.380071672918,6493.213070411029,6389.2231873023065,6389.2231873023065,103.57806290585985,103.57806290585985,103.57806290585985,103.57806290585985,103.57806290585985,103.57806290585985,0.0,0.0,0.0,6492.8012502081665
2020-06-02,6375.288026453674,6515.385217646361,6516.207089478947,6375.288026453674,6375.288026453674,140.50336226507977,140.50336226507977,140.50336226507977,140.50336226507977,140.50336226507977,140.50336226507977,0.0,0.0,0.0,6515.791388718754
2020-06-03,6408.6058845704965,6414.90727047896,6415.73068793247,6408.6058845704965,6408.6058845704965,6.704144509843513,6.704144509843513,6.704144509843513,6.704144509843513,6.704144509843513,6.704144509843513,0.0,0.0,0.0,6415.31002908034
